Storage 023105 PM - RawData - C:\Documents and Settings\mcneill\My Documents\Louis\Perylene Red\041911\File 110419 023105 PM.spc
Wavelength nm.,Abs.
300.00,0.715
300.50,0.695
301.00,0.675
301.50,0.656
302.00,0.633
302.50,0.612
303.00,0.594
303.50,0.575
304.00,0.556
304.50,0.539
305.00,0.524
305.50,0.506
306.00,0.495
306.50,0.480
307.00,0.465
307.50,0.451
308.00,0.441
308.50,0.429
309.00,0.418
309.50,0.405
310.00,0.394
310.50,0.383
311.00,0.373
311.50,0.362
312.00,0.353
312.50,0.347
313.00,0.338
313.50,0.328
314.00,0.322
314.50,0.313
315.00,0.304
315.50,0.298
316.00,0.294
316.50,0.287
317.00,0.282
317.50,0.275
318.00,0.272
318.50,0.267
319.00,0.262
319.50,0.259
320.00,0.254
320.50,0.251
321.00,0.247
321.50,0.244
322.00,0.239
322.50,0.237
323.00,0.235
323.50,0.230
324.00,0.226
324.50,0.226
325.00,0.222
325.50,0.219
326.00,0.217
326.50,0.213
327.00,0.209
327.50,0.205
328.00,0.204
328.50,0.198
329.00,0.199
329.50,0.197
330.00,0.197
330.50,0.192
331.00,0.192
331.50,0.188
332.00,0.186
332.50,0.185
333.00,0.184
333.50,0.182
334.00,0.181
334.50,0.177
335.00,0.176
335.50,0.173
336.00,0.172
336.50,0.170
337.00,0.169
337.50,0.166
338.00,0.164
338.50,0.164
339.00,0.163
339.50,0.160
340.00,0.161
340.50,0.157
341.00,0.157
341.50,0.157
342.00,0.157
342.50,0.155
343.00,0.155
343.50,0.151
344.00,0.149
344.50,0.146
345.00,0.146
345.50,0.145
346.00,0.145
346.50,0.142
347.00,0.141
347.50,0.139
348.00,0.139
348.50,0.138
349.00,0.137
349.50,0.135
350.00,0.132
350.50,0.132
351.00,0.133
351.50,0.129
352.00,0.132
352.50,0.133
353.00,0.129
353.50,0.125
354.00,0.125
354.50,0.125
355.00,0.124
355.50,0.125
356.00,0.124
356.50,0.121
357.00,0.122
357.50,0.122
358.00,0.122
358.50,0.118
359.00,0.118
359.50,0.120
360.00,0.118
360.50,0.120
361.00,0.119
361.50,0.117
362.00,0.117
362.50,0.117
363.00,0.115
363.50,0.115
364.00,0.117
364.50,0.117
365.00,0.117
365.50,0.116
366.00,0.115
366.50,0.113
367.00,0.112
367.50,0.112
368.00,0.110
368.50,0.110
369.00,0.111
369.50,0.110
370.00,0.107
370.50,0.108
371.00,0.108
371.50,0.106
372.00,0.105
372.50,0.105
373.00,0.106
373.50,0.105
374.00,0.105
374.50,0.106
375.00,0.106
375.50,0.107
376.00,0.105
376.50,0.105
377.00,0.105
377.50,0.106
378.00,0.105
378.50,0.107
379.00,0.107
379.50,0.108
380.00,0.108
380.50,0.108
381.00,0.109
381.50,0.110
382.00,0.112
382.50,0.110
383.00,0.112
383.50,0.113
384.00,0.114
384.50,0.115
385.00,0.117
385.50,0.119
386.00,0.120
386.50,0.121
387.00,0.123
387.50,0.124
388.00,0.126
388.50,0.129
389.00,0.131
389.50,0.132
390.00,0.134
390.50,0.136
391.00,0.138
391.50,0.141
392.00,0.143
392.50,0.146
393.00,0.148
393.50,0.151
394.00,0.153
394.50,0.156
395.00,0.159
395.50,0.162
396.00,0.165
396.50,0.169
397.00,0.172
397.50,0.175
398.00,0.179
398.50,0.183
399.00,0.185
399.50,0.189
400.00,0.193
400.50,0.197
401.00,0.200
401.50,0.204
402.00,0.207
402.50,0.212
403.00,0.215
403.50,0.219
404.00,0.223
404.50,0.227
405.00,0.231
405.50,0.236
406.00,0.241
406.50,0.245
407.00,0.251
407.50,0.255
408.00,0.258
408.50,0.263
409.00,0.267
409.50,0.273
410.00,0.278
